X,Y,Z,B0,Bx,By,Bz
30,0,-30,0.045670501,-0.045389284,0.004850771,0.001441388
35,0,-30,0.045651055,-0.045368859,0.004856799,0.001448104
40,0,-30,0.045630229,-0.045348297,0.004853278,0.001447589
-35,5,-30,0.045635804,-0.045359447,0.004858394,0.001242247
-30,5,-30,0.045660033,-0.045383272,0.004861442,0.00125046
-25,5,-30,0.045680426,-0.045403508,0.004861108,0.001261898
-20,5,-30,0.045697221,-0.045420613,0.004854584,0.001279431
-15,5,-30,0.045709477,-0.045433481,0.004843833,0.001300897
-10,5,-30,0.045717915,-0.045442612,0.004831282,0.001324936
-5,5,-30,0.045722625,-0.045447859,0.004821828,0.001341834
0,5,-30,0.045723722,-0.045448563,0.004819604,0.00136318
5,5,-30,0.045722083,-0.045446147,0.004822355,0.001378939
10,5,-30,0.045717102,-0.045439469,0.004833747,0.001393899
15,5,-30,0.045709504,-0.045430333,0.004843816,0.001407476
20,5,-30,0.04569942,-0.045418792,0.004852942,0.001421014
25,5,-30,0.045686312,-0.045404169,0.004863763,0.001429804
30,5,-30,0.045670341,-0.045387182,0.004871796,0.001431553
35,5,-30,0.045652256,-0.045368135,0.004878058,0.001437131
-35,10,-30,0.045646863,-0.045371814,0.004848779,0.001234473
-30,10,-30,0.045666508,-0.045390904,0.004852917,0.001242972
-25,10,-30,0.045683867,-0.045407995,0.004853234,0.001255325
-20,10,-30,0.045697841,-0.045422048,0.004848585,0.001273344
-15,10,-30,0.045707886,-0.045432482,0.004839761,0.001295044
-10,10,-30,0.045715398,-0.045440426,0.004829693,0.001318849
-5,10,-30,0.045719075,-0.045444277,0.004823629,0.001335728
0,10,-30,0.045719941,-0.045444497,0.004823881,0.001356777
5,10,-30,0.045717268,-0.0454407,0.004829566,0.001373579
10,10,-30,0.045712168,-0.045433526,0.004844827,0.001387336
15,10,-30,0.045705086,-0.045424685,0.004857112,0.001400458
20,10,-30,0.045695177,-0.045413082,0.004868955,0.001412264
25,10,-30,0.045683575,-0.0453998,0.004882002,0.001418888
30,10,-30,0.045669272,-0.045384343,0.004891464,0.001420352
35,10,-30,0.045653772,-0.045367766,0.004899321,0.001424548
-35,15,-30,0.045656933,-0.045383412,0.004836509,0.001228689
-30,15,-30,0.045671737,-0.045397635,0.00484051,0.001237648
-25,15,-30,0.045684961,-0.045410436,0.004842032,0.001250077
-20,15,-30,0.045695757,-0.045421107,0.004838998,0.001268603
-15,15,-30,0.045703658,-0.045429201,0.004832084,0.001289557
-10,15,-30,0.045709204,-0.04543487,0.004824807,0.001313452
-5,15,-30,0.045711865,-0.04543736,0.00482185,0.001330685
0,15,-30,0.045711823,-0.045436317,0.004825371,0.00135192
5,15,-30,0.045709088,-0.045432138,0.004834525,0.001367088
10,15,-30,0.045704434,-0.045425206,0.004851859,0.001380367
15,15,-30,0.045697407,-0.045415998,0.004868021,0.001393755
20,15,-30,0.045689104,-0.045405789,0.004882131,0.001404746
25,15,-30,0.045678839,-0.045393635,0.00489745,0.001410414
30,15,-30,0.045666875,-0.045380283,0.004909499,0.001410748
35,15,-30,0.045655077,-0.045367485,0.00491758,0.001412354
-30,20,-30,0.045677001,-0.045404575,0.004826125,0.001233486
-25,20,-30,0.045685332,-0.045412282,0.004829118,0.001246511
-20,20,-30,0.045691912,-0.045418488,0.004828454,0.001264036
-15,20,-30,0.045697185,-0.045423638,0.004824293,0.001285305
-10,20,-30,0.045700594,-0.045426889,0.004819692,0.001308676
-5,20,-30,0.0457016,-0.045427435,0.004819548,0.001325271
0,20,-30,0.045700992,-0.045425529,0.004826063,0.001345761
5,20,-30,0.045697894,-0.045420604,0.004838999,0.001360279
10,20,-30,0.045693343,-0.045413445,0.004859518,0.0013732
15,20,-30,0.045686974,-0.045404594,0.004878802,0.001385555
20,20,-30,0.045679904,-0.045395388,0.004895576,0.001394903
25,20,-30,0.045672116,-0.045385489,0.004913305,0.001399657
30,20,-30,0.045663903,-0.045375786,0.004926573,0.001399648
-30,25,-30,0.045681993,-0.045411215,0.004811519,0.001231005
-25,25,-30,0.045683701,-0.04541223,0.004814788,0.001244067
-20,25,-30,0.045685989,-0.045413923,0.00481578,0.00126234
-15,25,-30,0.04568798,-0.045415519,0.004814011,0.001283533
-10,25,-30,0.045689007,-0.045416132,0.004812017,0.001305682
-5,25,-30,0.045688328,-0.045414648,0.00481537,0.001321107
0,25,-30,0.045686592,-0.045411283,0.004825285,0.001340413
5,25,-30,0.045683005,-0.045405499,0.004841958,0.001353924
10,25,-30,0.045679132,-0.04539876,0.004865187,0.001365886
15,25,-30,0.045673902,-0.045390817,0.00488679,0.001377809
20,25,-30,0.045669263,-0.045383812,0.004906398,0.001385109
25,25,-30,0.045664282,-0.045376588,0.004925689,0.001389068
30,25,-30,0.045660314,-0.045371,0.004940252,0.001389445
-25,30,-30,0.045680505,-0.045410698,0.004799598,0.001241329
-20,30,-30,0.045677406,-0.04540675,0.004802514,0.001260271
-15,30,-30,0.04567526,-0.045403897,0.004803594,0.001281012
-10,30,-30,0.045673913,-0.045401948,0.004803662,0.001301674
-5,30,-30,0.045671693,-0.045398546,0.004810435,0.001317282
0,30,-30,0.045668882,-0.045393775,0.004823915,0.001334867
5,30,-30,0.045665548,-0.045388074,0.004842663,0.001346724
10,30,-30,0.04566259,-0.045381883,0.004869667,0.001357651
15,30,-30,0.045658694,-0.045375095,0.004893513,0.001367723
20,30,-30,0.045656864,-0.045370791,0.004914404,0.001374495
25,30,-30,0.04565561,-0.045367169,0.004935178,0.001377952
-15,35,-30,0.045660763,-0.045390844,0.004790802,0.00127466
-10,35,-30,0.045655853,-0.04538467,0.004796424,0.001297277
-5,35,-30,0.045651447,-0.045378854,0.00480547,0.001312123
0,35,-30,0.04564815,-0.045373375,0.004821584,0.001327683
