X,Y,Z,Bz
-25.0,20.0,-30.0,443.15500000000003
-20.0,20.0,-30.0,442.71000000000004
-15.0,20.0,-30.0,442.315
-10.0,20.0,-30.0,442.06
-5.0,20.0,-30.0,441.85
0.0,20.0,-30.0,441.79
5.0,20.0,-30.0,441.87
10.0,20.0,-30.0,442.01
15.0,20.0,-30.0,442.28000000000003
20.0,20.0,-30.0,442.56
25.0,20.0,-30.0,443.0
30.0,20.0,-30.0,443.46000000000004
-30.0,25.0,-30.0,443.5
-25.0,25.0,-30.0,443.06
-20.0,25.0,-30.0,442.575
-15.0,25.0,-30.0,442.2425
-10.0,25.0,-30.0,441.97
-5.0,25.0,-30.0,441.89750000000004
0.0,25.0,-30.0,441.88500000000005
5.0,25.0,-30.0,441.935
10.0,25.0,-30.0,442.14500000000004
15.0,25.0,-30.0,442.3125
20.0,25.0,-30.0,442.76000000000005
25.0,25.0,-30.0,443.22333333333336
30.0,25.0,-30.0,443.66
-25.0,30.0,-30.0,443.02000000000004
-20.0,30.0,-30.0,442.56
-15.0,30.0,-30.0,442.14000000000004
-10.0,30.0,-30.0,441.96000000000004
-5.0,30.0,-30.0,441.815
0.0,30.0,-30.0,441.85
5.0,30.0,-30.0,441.97
10.0,30.0,-30.0,442.04
15.0,30.0,-30.0,442.36499999999995
20.0,30.0,-30.0,442.84
25.0,30.0,-30.0,443.33
-15.0,35.0,-30.0,442.03000000000003
-10.0,35.0,-30.0,441.78000000000003
-5.0,35.0,-30.0,441.79333333333335
0.0,35.0,-30.0,441.93
5.0,35.0,-30.0,442.0
10.0,35.0,-30.0,442.19000000000005
15.0,35.0,-30.0,442.47499999999997
0.0,40.0,-30.0,442.21000000000004
-15.0,-40.0,-25.0,442.345
-10.0,-40.0,-25.0,442.27
-5.0,-40.0,-25.0,442.44666666666666
0.0,-40.0,-25.0,442.615
5.0,-40.0,-25.0,442.6666666666667
10.0,-40.0,-25.0,442.78999999999996
15.0,-40.0,-25.0,443.04499999999996
-25.0,-35.0,-25.0,443.1975
-20.0,-35.0,-25.0,442.81333333333333
-15.0,-35.0,-25.0,442.56166666666667
-10.0,-35.0,-25.0,442.36
-5.0,-35.0,-25.0,442.34285714285716
0.0,-35.0,-25.0,442.42
5.0,-35.0,-25.0,442.52
10.0,-35.0,-25.0,442.6433333333334
15.0,-35.0,-25.0,442.86499999999995
20.0,-35.0,-25.0,443.18666666666667
25.0,-35.0,-25.0,443.5525
-30.0,-30.0,-25.0,443.67999999999995
-25.0,-30.0,-25.0,443.24333333333334
-20.0,-30.0,-25.0,442.865
-15.0,-30.0,-25.0,442.625
-10.0,-30.0,-25.0,442.385
-5.0,-30.0,-25.0,442.28000000000003
0.0,-30.0,-25.0,442.29499999999996
5.0,-30.0,-25.0,442.45
10.0,-30.0,-25.0,442.50500000000005
15.0,-30.0,-25.0,442.755
20.0,-30.0,-25.0,442.985
25.0,-30.0,-25.0,443.34
30.0,-30.0,-25.0,443.68
-35.0,-25.0,-25.0,444.0625
-30.0,-25.0,-25.0,443.75
-25.0,-25.0,-25.0,443.34714285714284
-20.0,-25.0,-25.0,442.99
-15.0,-25.0,-25.0,442.71625
-10.0,-25.0,-25.0,442.4725
-5.0,-25.0,-25.0,442.36
0.0,-25.0,-25.0,442.2775
5.0,-25.0,-25.0,442.35999999999996
10.0,-25.0,-25.0,442.4725
15.0,-25.0,-25.0,442.6875
20.0,-25.0,-25.0,442.9525
25.0,-25.0,-25.0,443.30285714285714
30.0,-25.0,-25.0,443.5833333333333
35.0,-25.0,-25.0,443.9325
-35.0,-20.0,-25.0,443.83333333333337
-30.0,-20.0,-25.0,443.785
-25.0,-20.0,-25.0,443.44500000000005
-20.0,-20.0,-25.0,443.05499999999995
-15.0,-20.0,-25.0,442.7075
-10.0,-20.0,-25.0,442.46999999999997
-5.0,-20.0,-25.0,442.4
0.0,-20.0,-25.0,442.34999999999997
5.0,-20.0,-25.0,442.33
10.0,-20.0,-25.0,442.41999999999996
15.0,-20.0,-25.0,442.64
20.0,-20.0,-25.0,442.88
25.0,-20.0,-25.0,443.21250000000003
30.0,-20.0,-25.0,443.475
35.0,-20.0,-25.0,443.76
-40.0,-15.0,-25.0,444.54499999999996
-35.0,-15.0,-25.0,444.1983333333334
-30.0,-15.0,-25.0,443.885
-25.0,-15.0,-25.0,443.51750000000004
-20.0,-15.0,-25.0,443.15999999999997
-15.0,-15.0,-25.0,442.82125
-10.0,-15.0,-25.0,442.57250000000005
-5.0,-15.0,-25.0,442.39250000000004
0.0,-15.0,-25.0,442.2325
5.0,-15.0,-25.0,442.2775
10.0,-15.0,-25.0,442.3225
15.0,-15.0,-25.0,442.51625
20.0,-15.0,-25.0,442.76
25.0,-15.0,-25.0,443.03999999999996
30.0,-15.0,-25.0,443.34
35.0,-15.0,-25.0,443.8183333333333
40.0,-15.0,-25.0,444.21500000000003
-40.0,-10.0,-25.0,444.54
-35.0,-10.0,-25.0,444.1933333333333
-30.0,-10.0,-25.0,443.815
-25.0,-10.0,-25.0,443.45000000000005
-20.0,-10.0,-25.0,443.115
-15.0,-10.0,-25.0,442.785
-10.0,-10.0,-25.0,442.595
-5.0,-10.0,-25.0,442.425
0.0,-10.0,-25.0,442.26500000000004
5.0,-10.0,-25.0,442.215
10.0,-10.0,-25.0,442.27500000000003
15.0,-10.0,-25.0,442.4725
20.0,-10.0,-25.0,442.73
25.0,-10.0,-25.0,443.0475
30.0,-10.0,-25.0,443.40500000000003
35.0,-10.0,-25.0,443.81666666666666
40.0,-10.0,-25.0,444.2
-40.0,-5.0,-25.0,444.6433333333333
-35.0,-5.0,-25.0,444.1985714285714
-30.0,-5.0,-25.0,443.8225
-25.0,-5.0,-25.0,443.47375
-20.0,-5.0,-25.0,443.105
-15.0,-5.0,-25.0,442.8125
-10.0,-5.0,-25.0,442.62
-5.0,-5.0,-25.0,442.36625
0.0,-5.0,-25.0,442.3025
5.0,-5.0,-25.0,442.25625
10.0,-5.0,-25.0,442.34
15.0,-5.0,-25.0,442.49625000000003
20.0,-5.0,-25.0,442.7725
25.0,-5.0,-25.0,443.0675
30.0,-5.0,-25.0,443.3825
35.0,-5.0,-25.0,443.8228571428571
40.0,-5.0,-25.0,444.26666666666665
-40.0,0.0,-25.0,444.63
-35.0,0.0,-25.0,444.26
-30.0,0.0,-25.0,443.88
-25.0,0.0,-25.0,443.5175
-20.0,0.0,-25.0,443.175
-15.0,0.0,-25.0,442.87
-10.0,0.0,-25.0,442.595
-5.0,0.0,-25.0,442.44750000000005
0.0,0.0,-25.0,442.29999999999995
5.0,0.0,-25.0,442.3175
10.0,0.0,-25.0,442.445
15.0,0.0,-25.0,442.60999999999996
20.0,0.0,-25.0,442.845
25.0,0.0,-25.0,443.15749999999997
30.0,0.0,-25.0,443.47999999999996
35.0,0.0,-25.0,443.9275
40.0,0.0,-25.0,444.395
-40.0,5.0,-25.0,444.5966666666667
-35.0,5.0,-25.0,444.11857142857144
-30.0,5.0,-25.0,443.6875
-25.0,5.0,-25.0,443.36749999999995
-20.0,5.0,-25.0,443.01750000000004
-15.0,5.0,-25.0,442.84625
-10.0,5.0,-25.0,442.605
-5.0,5.0,-25.0,442.35625
0.0,5.0,-25.0,442.3175
5.0,5.0,-25.0,442.27375
10.0,5.0,-25.0,442.35999999999996
15.0,5.0,-25.0,442.53999999999996
20.0,5.0,-25.0,442.80999999999995
25.0,5.0,-25.0,443.11749999999995
30.0,5.0,-25.0,443.445
35.0,5.0,-25.0,443.84999999999997
40.0,5.0,-25.0,444.30333333333334
-40.0,10.0,-25.0,444.39
-35.0,10.0,-25.0,444.0
-30.0,10.0,-25.0,443.65500000000003
-25.0,10.0,-25.0,443.2775
-20.0,10.0,-25.0,442.93
-15.0,10.0,-25.0,442.7125
-10.0,10.0,-25.0,442.515
-5.0,10.0,-25.0,442.275
0.0,10.0,-25.0,442.245
5.0,10.0,-25.0,442.27
10.0,10.0,-25.0,442.435
15.0,10.0,-25.0,442.64
20.0,10.0,-25.0,442.86499999999995
25.0,10.0,-25.0,443.16749999999996
30.0,10.0,-25.0,443.51
35.0,10.0,-25.0,443.8633333333333
40.0,10.0,-25.0,444.36
-40.0,15.0,-25.0,444.37
-35.0,15.0,-25.0,444.025
-30.0,15.0,-25.0,443.6225
-25.0,15.0,-25.0,443.28749999999997
-20.0,15.0,-25.0,443.0225
-15.0,15.0,-25.0,442.75375
-10.0,15.0,-25.0,442.505
-5.0,15.0,-25.0,442.34875
0.0,15.0,-25.0,442.2825
5.0,15.0,-25.0,442.37624999999997
10.0,15.0,-25.0,442.51
15.0,15.0,-25.0,442.6675
20.0,15.0,-25.0,442.955
25.0,15.0,-25.0,443.275
30.0,15.0,-25.0,443.705
35.0,15.0,-25.0,444.13
40.0,15.0,-25.0,444.57
-35.0,20.0,-25.0,444.02
-30.0,20.0,-25.0,443.64
-25.0,20.0,-25.0,443.3075
